2015-11-26 14:25:25,899 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\test\resources
2015-11-26 14:49:44,565 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-26 14:49:44,577 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\main\resources
2015-11-26 14:49:44,579 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-26 14:49:44,580 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\test\resources
2015-11-26 14:49:46,264 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-26 14:49:46,265 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\main\resources
2015-11-26 14:49:46,267 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-26 14:49:46,268 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\test\resources
2015-11-26 14:50:45,045 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-26 14:50:45,046 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\main\resources
2015-11-26 14:50:45,048 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-26 14:50:45,048 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Acti_Mav_Work\Acti_Mav_Repo\ActiMavPro\src\test\resources
2015-11-26 14:50:46,123 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
